turno_ordinal,turn_id,classe_turno,modulo,elegibilidade,consulta_esperada,consulta_observada,efeito_esperado,efeito_observado,estado_ativacao,chamadas_detectadas,confianca_observacao,input_tokens_expostos_nao_aditivos,tokens_totais_expostos_nao_aditivos,tokens_totais_atribuidos_fracionados,tokens_uncached_atribuidos_fracionados_aprox,latencia_exposta_segundos_nao_aditiva,latencia_atribuida_fracionada_ms,par_preparar_concluir_exato
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,concurrent_adversarial_operations,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
6,01a091fd-5673-7e82-9962-304d2537c8dd,avanco_comum,underground_tournament,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,emergent_sidequest_opportunity,indeterminada,,sim,,,observada,2,media,631916,642259,128452,5398,264.024,52805,nao
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,emergent_sidequest_authoring,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,active_sidequest_reassessment,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,transactional_sidequest_progress,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,sidequest_progression,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,quest_rewards,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,sidequest_success_reactions,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,canon_bridge,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,canonical_secret_quests,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,seven_names_migration_regression,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,npc_social_initiative,indeterminada,,sim,,,observada,2,media,631916,642259,128452,5397,264.024,52805,nao
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,world_local_incidents,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,persistent_world_conditions,indeterminada,,sim,,,observada,1,media,631916,642259,128451,5397,264.024,52804,nao
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,liveness_boundary,indeterminada,,sim,,,observada,1,media,631916,642259,128452,5398,264.024,52805,nao
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,reactive_pressure_routing,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,batch_world_boundary,indeterminada,,sim,,,observada,2,media,631916,642259,128452,5398,264.024,52805,nao
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,secret_canon,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,adversarial_integrity,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,concurrent_adversarial_operations,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
7,01a091ff-83e0-72e2-ae99-4771e9311325,fronteira_temporal,underground_tournament,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
8,01a0920e-44da-7350-9689-089758c77525,avanco_comum,emergent_sidequest_opportunity,indeterminada,,sim,,,observada,1,media,333782,337950,168975,5035,114.904,57452,sim
